,ax
1065,5550.432872420656
1066,5556.441659337238
1067,5555.899580205069
1068,5556.914615109283
1069,5550.144188282931
1070,5554.937622132089
1071,5549.381217301414
1072,5551.613626198887
1073,5542.835571267106
1074,5548.465341166338
1075,5556.2165887447945
1076,5547.711143761274
1077,5528.201140008739
1078,5510.412248265358
1079,5496.535879804692
1080,5506.85342287992
1081,5518.304977589632
1082,5522.058744956343
1083,5523.687480805237
1084,5522.297136516243
1085,5522.29228400898
1086,5514.938983396782
1087,5515.4321224164905
1088,5520.959216494554
1089,5517.67315942501
1090,5519.113651301196
1091,5525.137185418329
1092,5521.031885780888
1093,5523.625922559333
1094,5522.24373497386
1095,5526.539579180395
1096,5520.053384901324
1097,5522.5888420955625
1098,5523.670451936624
1099,5520.561730933786
1100,5524.035766140849
1101,5518.102496479748
1102,5529.203755111445
1103,5524.735852391256
1104,5514.273739000005
1105,5525.7649083699125
1106,5529.8396911472255
1107,5529.866314154604
1108,5549.608981412672
1109,5546.943719499491
1110,5554.475754230387
1111,5540.389510096413
1112,5542.255615568439
1113,5528.665120234739
1114,5544.697875937289
1115,5542.420119538004
1116,5559.407315769073
1117,5574.087750824659
1118,5557.664497437394
1119,5555.177922971373
1120,5557.028622590805
1121,5551.674099026476
1122,5546.539367421718
1123,5544.563369616796
1124,5545.842808344471
1125,5545.570379724269
1126,5546.1465058107715
1127,5541.314832433775
1128,5546.513317715433
1129,5547.5409133308585
1130,5547.669544370501
1131,5544.885708842408
1132,5544.851324946795
1133,5540.015617005157
1134,5557.791412823659
1135,5549.230425447327
1136,5553.479162996867
1137,5555.6923877707
1138,5543.320154897589
1139,5547.052023164701
1140,5540.798211762005
1141,5549.058093493592
1142,5546.849979399831
1143,5545.882237973648
1144,5556.362242756357
1145,5569.269894039443
1146,5570.564146721649
1147,5552.655275012416
1148,5537.561404625646
1149,5552.374162173019
1150,5547.872573287135
1151,5542.777895227656
1152,5547.416524004455
1153,5548.447142734851
1154,5538.63375986859
1155,5544.09610381714
1156,5540.519795305582
1157,5544.0305976668815
1158,5539.271433985952
1159,5541.753987136535
1160,5544.826190886524
1161,5552.067422230349
1162,5549.018239299342
1163,5548.069635778949
1164,5545.640443185178
1165,5542.740268549823
1166,5538.497714000415
1167,5540.019602039971
1168,5533.711753699221
1169,5546.726191893787
1170,5545.466468125025
1171,5548.271431501409
1172,5544.45603896345
1173,5543.393776685185
1174,5548.999587169404
1175,5539.838017338514
1176,5545.324854889496
1177,5543.979062582602
1178,5538.494384472196
1179,5542.924350140618
1180,5542.843698965029
1181,5543.664732022435
1182,5544.455072447942
1183,5543.966177285817
1184,5540.059805132085
1185,5542.639398366307
1186,5543.454222769817
1187,5540.208913543823
1188,5548.4613274301155
1189,5545.866412560044
1190,5547.8049044351055
1191,5540.711286768258
1192,5541.27025908027
1193,5539.293596893675
1194,5538.331351899513
1195,5546.883993402783
1196,5543.648281395785
1197,5543.542980309331
1198,5546.174917455906
1199,5541.967906830143
1200,5544.745029582749
1201,5540.770546832613
1202,5547.720285487891
1203,5539.321001534987
1204,5544.767251825678
1205,5547.063175463614
1206,5543.982142779676
1207,5544.343807789609
1208,5538.900902784769
1209,5544.634929873743
1210,5546.200547827875
1211,5547.997280564532
1212,5541.341180861689
1213,5532.836434813191
1214,5539.216554156741
1215,5543.241002788469
1216,5536.754268188934
1217,5540.38373957448
1218,5538.995618448163
1219,5542.755994442792
1220,5538.895588154309
1221,5542.313907356733
1222,5549.944011720547
1223,5538.087160766551
1224,5538.662747440029
1225,5545.239395133128
1226,5537.961838645783
1227,5542.674521381094
1228,5545.171287905312
1229,5537.483324671617
1230,5536.989826202016
1231,5537.470518089514
1232,5537.551302811067
1233,5532.790677118458
1234,5536.34797516903
1235,5540.60816960494
1236,5539.168711195352
1237,5534.855515928604
1238,5541.757875681571
1239,5537.384485282415
1240,5534.586832728457
1241,5537.720499900645
1242,5535.48239584049
1243,5535.73899297859
1244,5540.55424373358
1245,5538.674650888772
1246,5539.080148384408
1247,5537.86704264765
1248,5539.504103419319
1249,5536.562387261473
1250,5537.279350335804
1251,5533.831038068597
1252,5541.532291868728
1253,5533.714741417012
1254,5537.638016077669
1255,5537.457016437488
1256,5536.253429292557
1257,5536.414187871015
1258,5536.1602842912325
1259,5539.744045209155
1260,5526.783743989497
1261,5534.448534792584
1262,5536.435090454078
1263,5538.789784696865
1264,5535.197912335263
1265,5536.6199395384365
1266,5534.210007469279
1267,5539.749617535033
1268,5518.5796783672395
1269,5522.293258776724
1270,5537.580162583518
1271,5525.937976852323
1272,5540.510186519646
1273,5542.334189776573
1274,5526.0304007344175
1275,5524.735798971027
1276,5526.939705639839
1277,5525.000451712998
1278,5523.344389775973
1279,5529.314778012381
1280,5527.575646720074
1281,5529.903257086178
1282,5536.628715197899
1283,5530.194379651334
1284,5525.8404175315745
1285,5530.081160971436
1286,5526.274429297365
1287,5528.215779273387
1288,5525.395597103631
1289,5532.392782877781
1290,5530.712805344957
1291,5530.002423819036
1292,5518.865727410693
1293,5523.175427588781
1294,5528.679139104599
1295,5533.001747809918
1296,5530.235894538677
1297,5523.754315177696
1298,5531.512919526051
1299,5529.4956908905115
1300,5524.448456254752
1301,5528.017840736951
1302,5520.983753056925
1303,5534.000774626242
1304,5540.285708222298
1305,5519.687748404847
1306,5524.023223815095
1307,5529.665679126725
1308,5526.991533717671
1309,5539.18513544636
1310,5553.536759299519
1311,5531.843006764262
1312,5529.323492668644
1313,5528.941676250097
1314,5528.346030277887
1315,5541.636398650261
1316,5546.519266922498
1317,5527.097567364161
1318,5528.952791174345
1319,5544.700492012692
1320,5536.380976373387
1321,5551.227833174304
1322,5541.440199688549
1323,5530.147067017797
1324,5532.73181614798
1325,5537.454576264124
1326,5535.164693850514
1327,5542.53333439346
1328,5542.819987154597
1329,5543.121143120506
1330,5529.760711422086
1331,5534.636132356454
1332,5544.854015575412
1333,5530.205365047919
1334,5533.01658747908
1335,5528.726110404752
1336,5533.934500073343
1337,5532.20587119223
1338,5530.914437863459
1339,5533.622393421666
1340,5531.03151497758
1341,5522.714005382718
1342,5524.398748494694
1343,5510.749429712976
1344,5506.265119503875
1345,5505.45735072181
1346,5516.906317352963
1347,5506.399866671531
1348,5506.145734553245
1349,5513.757489931515
1350,5538.1534836699875
1351,5521.568229143397
